ticker,Date,nav,premium_reported,prem_next
WDIV,2025-04-09,61.080411,0.02201342,-0.00220049
WDIV,2026-03-09,78.078381,0.01065108,-0.00270348
WDIV,2026-03-31,76.20681,0.01126133,-0.00023626999999999999
WDIV,2026-06-11,81.324393,0.01187352,0.0026805699999999997
XCNY,2025-01-15,23.493677,0.01303853,0.00279292
XCNY,2025-03-14,23.056443,0.013382680000000001,0.016610279999999998
XCNY,2025-03-17,23.258667,0.016610279999999998,0.0045901
XCNY,2025-04-03,23.251201,-0.012309079999999998,-0.02346003
XCNY,2025-04-04,22.282754,-0.02346003,-0.005664519999999999
XCNY,2025-04-08,21.368538,-0.01467288,0.06294696
XCNY,2025-04-09,20.97941,0.06294696,0.00296761
XCNY,2025-04-11,22.220106,0.01147132,0.01114771
XCNY,2025-04-14,22.444792,0.01114771,-0.00050458
XCNY,2025-04-24,23.387163,0.011024719999999998,0.0071702
XCNY,2025-05-13,24.815351,0.01106771,0.00231219
XCNY,2025-08-22,26.205588,0.012761100000000001,-0.0006993199999999999
XCNY,2025-10-10,27.310803,-0.01540793,0.0055448500000000005
XCNY,2025-11-20,27.772443,-0.013770590000000001,0.00614198
XCNY,2026-01-27,29.897991,0.010937490000000001,0.00187648
XCNY,2026-02-02,29.377188,0.019838929999999998,-0.00173501
XCNY,2026-02-06,29.779852,0.01696274,0.00966956
XCNY,2026-02-20,30.626815,0.01659281,0.0025831900000000004
XCNY,2026-02-24,31.037581,0.01038802,0.00519737
XCNY,2026-03-03,29.817336,-0.011313420000000001,0.01635829
XCNY,2026-03-04,29.266254,0.01635829,-0.00617276
XCNY,2026-03-06,29.274458,-0.0117665,0.0248929
XCNY,2026-03-09,28.544446,0.0248929,0.0066097099999999995
XCNY,2026-03-12,28.969836,-0.013456619999999999,-0.00432333
XCNY,2026-03-16,28.583003,0.013189550000000001,0.00732774
XCNY,2026-03-18,29.216735,-0.01306563,0.0063589200000000005
XCNY,2026-03-20,28.35921,-0.012313810000000001,0.03211853
XCNY,2026-03-23,27.927994,0.03211853,0.00844642
XCNY,2026-03-26,28.604357,-0.01221342,-0.0101111
XCNY,2026-03-27,28.245594,-0.0101111,-0.00038544
XCNY,2026-03-31,27.805407,0.03541013,0.00868263
XCNY,2026-04-06,28.589689,0.010853950000000001,0.00835839
XCNY,2026-04-09,30.108592,0.01017676,0.00180062
XCNY,2026-04-13,30.402854,0.01585858,0.014659740000000001
XCNY,2026-04-14,30.862563,0.014659740000000001,0.00681292
XCNY,2026-04-17,31.36451,0.0169137,0.01019543
XCNY,2026-04-20,31.281076,0.01019543,-0.0066031399999999995
XCNY,2026-04-24,31.455058,0.01478115,0.00021399
XCNY,2026-04-30,31.243762,0.02100381,0.019159759999999998
XCNY,2026-05-01,31.285576,0.019159759999999998,-0.00164402
XCNY,2026-05-06,32.637408,0.014786470000000001,-0.00509552
XCNY,2026-05-14,32.324103,0.01131963,-0.00381029
XCNY,2026-05-20,31.431585,0.018084199999999998,0.0082337
XCNY,2026-05-26,32.986376,0.01041715,0.00608599
XCNY,2026-05-28,33.052857,0.01262048,-6.528e-05
XCNY,2026-06-02,33.579895,0.01280841,-0.00363636
XCNY,2026-06-05,33.013112,-0.026901799999999997,0.00752682
XCNY,2026-06-11,32.121437,0.025483389999999998,0.00615685
XCNY,2026-06-15,33.610221,0.010109390000000001,-0.0059358100000000006
XCNY,2026-06-18,33.988016,0.01079745,0.01002944
XCNY,2026-06-22,34.053463,0.01002944,-0.011711590000000001
XCNY,2026-06-23,33.603551,-0.011711590000000001,-0.00077382
XCNY,2026-06-29,32.684523,0.01699511,0.01973671
XCNY,2026-06-30,33.062456,0.01973671,-0.00667709
XCNY,2026-07-06,33.395203,0.01047447,-0.00326621
XCNY,2026-07-09,32.804632,0.014948129999999999,0.014442330000000001
XCNY,2026-07-10,33.02307,0.014442330000000001,-0.00410929
XCNY,2026-07-30,31.186136,0.02337141,-0.00337834
XCNY,2026-08-04,32.510445,0.01967229,-0.00092823
XCNY,2026-08-07,32.862439,0.010576239999999999,-0.00312582
XCNY,2026-09-03,33.684568,0.011590830000000002,0.008721959999999999
XCNY,2026-09-10,34.022407,-0.01050505,0.009098460000000001
XCNY,2026-09-17,33.447141,0.01054975,
XLCI,2025-10-10,24.301864,0.014325490000000001,-6.103e-05
XLSI,2026-05-14,23.626639,0.01537929,-0.0005155499999999999
