accession,cik,form,filing_date,acceptance_datetime,company,description,items,document_url,classification
0001683168-25-001149,0001590418,8-K,2025-02-20,,FOCUS UNIVERSAL INC.  (FCUV)  (CIK 0001590418),PRESS RELEASE,8.01;9.01,https://www.sec.gov/Archives/edgar/data/1590418/000168316825001149/focus_8k.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001493152-25-007719,0001861622,8-K,2025-02-20,,Jet.AI Inc.  (JTAI)  (CIK 0001861622),,1.01;8.01,https://www.sec.gov/Archives/edgar/data/1861622/000149315225007719/ex10-1.htm,LIKELY SPIN-OFF — PRIMARY REVIEW REQUIRED
0001493152-25-007898,0001847345,8-K,2025-02-21,,"Aspire Biopharma Holdings, Inc.  (PWUP, PWUPU, PWUPW)  (CIK 0001847345)",,1.01;2.01;2.03;3.02;3.03;4.01;5.01;5.02;5.03;5.05;5.06;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1847345/000149315225007898/ex1-1.htm,UNRELATED OR NOT CONFIRMED
0001193125-25-032114,0001965040,8-K,2025-02-21,,Fortrea Holdings Inc.  (FTRE)  (CIK 0001965040),8-K,1.01;5.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1965040/000119312525032114/d868928d8k.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001193125-25-032800,0001050446,8-K,2025-02-24,,"MICROSTRATEGY Inc  (MSTR, STRK)  (CIK 0001050446)",EX-4.1,1.01;2.03;3.02;8.01;9.01,https://www.sec.gov/Archives/edgar/data/1050446/000119312525032800/d851880d8k.htm,UNRELATED OR NOT CONFIRMED
0001193125-25-032713,0002017206,8-K,2025-02-24,,"Millrose Properties, Inc.  (MRP)  (CIK 0002017206)",EX-99.1,7.01;9.01,https://www.sec.gov/Archives/edgar/data/2017206/000119312525032713/d866617d8k.htm,UNRELATED OR NOT CONFIRMED
0001193125-25-033433,0002023554,8-K,2025-02-24,,"Sandisk Corp  (SNDK, SNDKV)  (CIK 0002023554)",EX-3.1,1.01;2.03;3.03;5.01;5.02;5.03;5.05;8.01;9.01,https://www.sec.gov/Archives/edgar/data/2023554/000119312525033433/d849281d8k.htm,LIKELY SPIN-OFF — PRIMARY REVIEW REQUIRED
0001193125-25-033383,0000106040,8-K,2025-02-24,,"WESTERN DIGITAL CORP  (WDC, WDCVV)  (CIK 0000106040)",8-K,1.01;2.01;2.03;8.01;9.01,https://www.sec.gov/Archives/edgar/data/106040/000119312525033383/d847507d8k.htm,LIKELY SPIN-OFF — PRIMARY REVIEW REQUIRED
0001193125-25-035279,0000769520,8-K,2025-02-25,,MIDDLEBY Corp  (MIDD)  (CIK 0000769520),8-K,1.01;5.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/769520/000119312525035279/d924983d8k.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001477932-25-001261,0002049860,10-12B/A,2025-02-26,,Electrified Materials Corp / IN  (CIK 0002049860),TRANSITION SERVICES AGREEMENT,,https://www.sec.gov/Archives/edgar/data/2049860/000147793225001261/ems_1012ba.htm,SPIN-OFF MENTION — PRIMARY REVIEW REQUIRED
0001628280-25-008123,0001981792,8-K,2025-02-26,,Howard Hughes Holdings Inc.  (HHH)  (CIK 0001981792),EX-99.2,2.02;7.01;9.01,https://www.sec.gov/Archives/edgar/data/1981792/000162828025008123/hhh-20250226.htm,UNRELATED OR NOT CONFIRMED
0000106040-25-000012,0000106040,8-K/A,2025-02-26,,"WESTERN DIGITAL CORP  (WDC, WDCVV)  (CIK 0000106040)",EX-99.1,9.01,https://www.sec.gov/Archives/edgar/data/106040/000010604025000012/R1.htm,UNRELATED OR NOT CONFIRMED
