provisional_transaction_id,issuer_key,cik,filing_count,filing_dates,filing_urls,status
SPIN-REVIEW-050,zyversa therapeutics inc,0001859007,1,2025-03-07,https://www.sec.gov/Archives/edgar/data/1859007/000149315225009571/ex10-1.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-051,jet ai inc,0001861622,1,2025-02-20,https://www.sec.gov/Archives/edgar/data/1861622/000149315225007719/ex10-1.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-052,ftai infrastructure inc,0001899883,1,2025-02-27,https://www.sec.gov/Archives/edgar/data/1899883/000114036125006134/ef20044412_8k.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-053,m tron industries inc,0001902314,1,2025-03-27,https://www.sec.gov/Archives/edgar/data/1902314/000143774925009638/ex_717151.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-054,wk kellogg co,0001959348,1,2025-02-11,https://www.sec.gov/Archives/edgar/data/1959348/000162828025004776/klg-2024q4exhibit991.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-055,kairos pharma ltd,0001962011,1,2025-01-17,https://www.sec.gov/Archives/edgar/data/1962011/000149315225002832/ex10-1.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-056,solventum corp,0001964738,1,2025-02-27,https://www.sec.gov/Archives/edgar/data/1964738/000196473825000013/q42024-8kerexx991.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-057,fortrea holdings inc,0001965040,1,2025-02-21,https://www.sec.gov/Archives/edgar/data/1965040/000119312525032114/d868928d8k.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-058,ncr atleos corp,0001974138,1,2025-03-03,https://www.sec.gov/Archives/edgar/data/1974138/000197413825000014/ex-991ncratleosq42024earni.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-059,inhibrx biosciences inc,0002007919,2,2025-01-13;2025-03-17,https://www.sec.gov/Archives/edgar/data/2007919/000200791925000003/exhibit101-oxfordlsa.htm;https://www.sec.gov/Archives/edgar/data/2007919/000200791925000020/exhibit99112312024.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-060,twin hospitality group inc,0002011954,3,2025-01-10;2025-01-17;2025-01-30,https://www.sec.gov/Archives/edgar/data/2011954/000149315225001566/ex10-3.htm;https://www.sec.gov/Archives/edgar/data/2011954/000149315225002824/ex99-1.htm;https://www.sec.gov/Archives/edgar/data/2011954/000149315225004240/ex10-1.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-061,everus construction group inc,0002015845,1,2025-02-11,https://www.sec.gov/Archives/edgar/data/2015845/000201584525000005/a2024q4ex99-ecg.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-062,millrose properties inc,0002017206,1,2025-02-07,https://www.sec.gov/Archives/edgar/data/2017206/000119312525022336/d760441d8k.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-063,sandisk corp,0002023554,4,2025-01-21;2025-01-27;2025-02-03;2025-02-24,https://www.sec.gov/Archives/edgar/data/2023554/000119312525008947/d835366d1012ba.htm;https://www.sec.gov/Archives/edgar/data/2023554/000119312525013282/d835366d1012ba.htm;https://www.sec.gov/Archives/edgar/data/2023554/000119312525019298/d919795d8k.htm;https://www.sec.gov/Archives/edgar/data/2023554/000119312525033433/d849281d8k.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-064,amrize ltd,0002035989,1,2025-02-28,https://www.sec.gov/Archives/edgar/data/2035989/000114036125006351/ny20033749x8_1012b.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-065,resolute holdings management inc,0002039497,6,2025-01-24;2025-02-07;2025-02-10;2025-02-19;2025-02-28,https://www.sec.gov/Archives/edgar/data/2039497/000110465925006034/tm2425234-9_1012ba.htm;https://www.sec.gov/Archives/edgar/data/2039497/000110465925010443/tm2425234-13_1012ba.htm;https://www.sec.gov/Archives/edgar/data/2039497/000110465925010902/tm2425234-18_1012ba.htm;https://www.sec.gov/Archives/edgar/data/2039497/000095014225000443/eh250593103_8k.htm;https://www.sec.gov/Archives/edgar/data/2039497/000095014225000558/eh250596666_8k.htm;https://www.sec.gov/Archives/edgar/data/2039497/000095014225000550/eh250596652_8k.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
SPIN-REVIEW-066,electrified materials corp in,0002049860,3,2025-01-30;2025-02-12;2025-02-26,https://www.sec.gov/Archives/edgar/data/2049860/000147793225000531/ems_1012ba.htm;https://www.sec.gov/Archives/edgar/data/2049860/000147793225000921/ems_1012ba.htm;https://www.sec.gov/Archives/edgar/data/2049860/000147793225001261/ems_1012ba.htm,PROVISIONAL — VERIFY PARENT/SPINCO AND GOVERNING DOCUMENT
