event_date,type,t0,n_c5_bars,c5_full,prior_median_range,c5_median_range
2019-10-04,NFP,2019-10-04T14:30:00,5,True,8.5,31.5
2019-10-30,FOMC,2019-10-30T19:00:00,5,True,4.5,8.700000000000728
2019-11-01,NFP,2019-11-01T13:30:00,5,True,5.899999999999636,9.5
2019-12-06,NFP,2019-12-06T14:30:00,5,True,7.149999999999636,19.5
2019-12-11,FOMC,2019-12-11T20:00:00,5,True,3.149999999999636,6.799999999999272
2020-01-10,NFP,2020-01-10T14:30:00,5,True,5.494999999999891,12.300000000001091
2020-01-29,FOMC,2020-01-29T20:00:00,5,True,3.915000000000873,7.8700000000008
2020-02-07,NFP,2020-02-07T14:30:00,5,True,6.855000000000473,21.519999999998618
2020-03-03,FOMC,2020-03-03T16:00:00,5,True,26.329999999999927,101.03000000000065
2020-03-06,NFP,2020-03-06T14:30:00,5,True,23.340000000000146,36.48999999999978
2020-03-15,FOMC,2020-03-15T22:00:00,0,False,,
2020-03-23,FOMC,2020-03-23T13:00:00,5,True,29.655000000000655,141.73999999999978
2020-04-03,NFP,2020-04-03T14:30:00,5,True,20.524999999999636,27.69000000000051
2020-04-29,FOMC,2020-04-29T20:00:00,5,True,9.590000000000146,16.640000000001237
2020-05-08,NFP,2020-05-08T14:30:00,5,True,10.99499999999989,25.409999999999854
2020-06-05,NFP,2020-06-05T14:30:00,5,True,14.44000000000051,35.900000000001455
2020-06-10,FOMC,2020-06-10T20:00:00,5,True,9.394999999999527,34.969999999999345
2020-07-02,NFP,2020-07-02T14:30:00,5,True,10.014999999999418,26.610000000000582
2020-07-29,FOMC,2020-07-29T20:00:00,5,True,5.5549999999993815,9.479999999999563
2020-08-07,NFP,2020-08-07T14:30:00,5,True,12.360000000000582,31.299999999999272
2020-09-04,NFP,2020-09-04T14:30:00,5,True,15.99499999999989,28.840000000000146
2020-09-16,FOMC,2020-09-16T20:00:00,5,True,7.050000000000182,12.0
2020-10-02,NFP,2020-10-02T14:30:00,5,True,13.9449999999988,15.289999999999054
2020-11-05,FOMC,2020-11-05T20:00:00,5,True,13.11999999999989,21.600000000000364
2020-11-06,NFP,2020-11-06T14:30:00,5,True,15.1899999999996,20.730000000001382
2020-12-04,NFP,2020-12-04T14:30:00,5,True,6.868999999999687,10.350000000000364
2020-12-16,FOMC,2020-12-16T20:00:00,5,True,5.145000000000437,9.6200000000008
2021-01-08,NFP,2021-01-08T14:30:00,5,True,7.030000000000655,17.040000000000873
