symbol,release_date,release_time,side,period
ALLE,2019-07-25,pre,short,OOS
ALLK,2019-08-05,pre,long,OOS
ALLY,2014-07-29,pre,long,IS
ALLY,2014-10-29,pre,long,IS
ALLY,2015-04-28,pre,long,IS
ALLY,2016-10-26,pre,short,IS
ALLY,2017-01-31,pre,long,OOS
ALLY,2017-07-27,pre,long,OOS
ALLY,2019-01-30,pre,long,OOS
ALNY,2015-08-06,post,short,IS
ALNY,2017-02-08,post,long,OOS
ALRM,2017-08-08,post,long,OOS
ALRM,2018-05-03,post,long,OOS
ALRM,2018-08-07,post,long,OOS
ALRM,2018-11-07,post,long,OOS
ALRM,2019-08-08,post,long,OOS
ALRM,2020-02-25,post,long,OOS
ALSN,2014-10-27,post,long,IS
ALSN,2016-04-25,post,long,IS
ALSN,2016-07-27,post,short,IS
ALSN,2017-02-06,post,long,OOS
ALSN,2017-04-26,post,long,OOS
ALSN,2017-07-31,post,long,OOS
ALSN,2017-10-30,post,long,OOS
ALSN,2018-04-30,post,long,OOS
ALSN,2018-07-30,post,long,OOS
ALSN,2018-10-29,post,long,OOS
ALTR,2014-01-23,post,long,IS
ALTR,2014-04-24,post,long,IS
ALV,2012-10-23,pre,short,IS
ALV,2013-04-26,pre,long,IS
ALV,2013-10-24,pre,short,IS
ALV,2014-01-31,pre,long,IS
ALV,2014-10-23,pre,short,IS
ALV,2015-01-29,pre,long,IS
ALV,2015-07-17,pre,long,IS
ALV,2015-10-23,pre,long,IS
ALV,2017-02-02,pre,short,OOS
ALV,2017-07-21,pre,short,OOS
ALV,2018-01-30,pre,long,OOS
ALV,2018-04-27,pre,short,OOS
ALV,2018-10-26,pre,short,OOS
ALV,2019-01-29,pre,short,OOS
ALV,2021-04-23,pre,long,OOS
ALXN,2013-02-14,pre,long,IS
ALXN,2013-04-25,pre,long,IS
ALXN,2014-01-30,pre,long,IS
ALXN,2014-10-23,pre,long,IS
ALXN,2016-04-28,pre,short,IS
ALXN,2016-10-27,pre,long,IS
ALXN,2017-02-16,pre,long,OOS
ALXN,2017-04-27,pre,long,OOS
ALXN,2017-07-27,pre,long,OOS
ALXN,2018-04-26,pre,long,OOS
AM,2019-02-13,post,long,OOS
AMAG,2015-05-05,pre,long,IS
AMAG,2015-11-03,pre,short,IS
AMAG,2016-05-03,pre,short,IS
AMAG,2016-08-09,pre,long,IS
AMAG,2016-11-03,pre,long,IS
AMAT,2014-08-14,post,long,IS
AMAT,2015-05-14,post,long,IS
AMAT,2015-11-12,post,long,IS
AMAT,2016-02-18,post,long,IS
AMAT,2016-05-19,post,long,IS
AMAT,2016-08-18,post,long,IS
AMAT,2017-05-18,post,long,OOS
AMAT,2017-08-17,post,long,OOS
AMAT,2017-11-16,post,long,OOS
AMAT,2019-05-16,post,long,OOS
AMBA,2013-09-05,post,long,IS
